,hB
0,-209
1,-211
2,-209
3,-210
4,-210
5,-211
6,-209
7,-208
8,-208
9,-209
10,-209
11,-208
12,-210
13,-206
14,-208
15,-210
16,-209
17,-206
18,-208
19,-209
20,-207
21,-206
22,-207
23,-206
24,-206
25,-207
26,-208
27,-207
28,-205
29,-205
30,-206
31,-208
32,-206
33,-205
34,-206
35,-206
36,-205
37,-204
38,-204
39,-203
40,-204
41,-205
42,-204
43,-204
44,-205
45,-204
46,-204
47,-204
48,-203
49,-206
50,-204
51,-205
52,-206
53,-204
54,-201
55,-200
56,-201
57,-200
58,-200
59,-204
60,-201
61,-200
62,-201
63,-205
64,-204
65,-203
66,-203
67,-206
68,-206
69,-207
70,-205
71,-205
72,-206
73,-205
74,-211
75,-213
76,-205
77,-207
78,-216
79,-221
80,-222
81,-225
82,-226
83,-221
84,-226
85,-234
86,-237
87,-240
88,-245
89,-242
90,-242
91,-244
92,-240
93,-197
94,-203
95,-206
96,-211
97,-199
98,-190
99,-204
100,-207
101,-212
102,-220
103,-243
104,-249
105,-249
106,-258
107,-248
108,-244
109,-246
110,-250
111,-258
112,-254
113,-266
114,-271
115,-268
116,-274
117,-265
118,-260
119,-265
120,-275
121,-261
122,-263
123,-269
124,-275
125,-285
126,-287
127,-281
128,-268
129,-254
130,-258
131,-254
132,-251
133,-255
134,-260
135,-264
136,-267
137,-281
138,-283
139,-331
140,-378
141,-359
142,-374
143,-389
144,-405
145,-405
146,-382
147,-352
148,-367
149,-370
150,-324
151,-322
152,-315
153,-316
154,-369
155,-350
156,-366
157,-341
158,-369
159,-435
160,-392
161,-409
162,-453
163,-441
164,-368
165,-441
166,-378
167,-440
168,-462
169,-418
170,-455
171,-450
172,-440
173,-386
174,-360
175,-347
176,-341
177,-364
178,-370
179,-349
180,-338
181,-354
182,-385
183,-356
184,-335
185,-324
186,-315
187,-316
188,-310
189,-306
190,-306
191,-298
192,-291
193,-288
194,-286
195,-283
196,-278
197,-275
198,-273
199,-271
200,-268
201,-267
202,-263
203,-259
204,-258
205,-257
206,-253
207,-259
208,-277
209,-282
210,-246
211,-244
212,-242
213,-239
214,-250
215,-252
216,-238
217,-234
218,-233
219,-232
220,-230
221,-225
222,-223
223,-220
224,-219
225,-217
226,-230
227,-222
228,-221
229,-215
230,-214
231,-215
232,-212
233,-211
234,-222
235,-223
236,-211
237,-211
238,-213
239,-208
240,-205
241,-203
242,-202
243,-232
244,-224
245,-206
246,-202
247,-202
248,-203
249,-206
250,-206
251,-215
252,-208
253,-203
254,-200
255,-228
256,-231
257,-238
258,-241
259,-228
260,-235
261,-242
262,-227
263,-216
264,-208
265,-208
266,-203
267,-201
268,-229
269,-239
270,-225
271,-210
272,-205
273,-201
274,-198
275,-184
276,-183
277,-177
278,-171
279,-168
280,-165
281,-167
282,-164
283,-163
284,-162
285,-161
286,-172
287,-172
288,-157
289,-158
290,-153
291,-164
292,-161
293,-162
294,-165
295,-161
296,-158
297,-157
298,-155
299,-156
300,-156
301,-155
302,-151
303,-151
304,-149
305,-147
306,-150
307,-152
308,-146
309,-144
310,-144
311,-142
312,-142
313,-143
314,-142
315,-143
316,-144
317,-138
318,-139
319,-140
320,-142
321,-141
322,-140
323,-140
324,-140
325,-137
326,-135
327,-136
328,-134
329,-132
330,-127
331,-130
332,-134
333,-129
334,-124
335,-121
336,-124
337,-124
338,-120
339,-120
340,-120
341,-121
342,-123
343,-132
344,-129
345,-125
346,-131
347,-121
348,-120
349,-121
350,-119
351,-119
352,-114
353,-112
354,-112
355,-114
356,-113
357,-113
358,-111
359,-111
360,-111
361,-118
362,-118
363,-117
364,-108
365,-108.9
366,-108.2
367,-106
368,-106.3
369,-105.1
370,-105.2
371,-105.1
372,-106.5
373,-109.6
374,-105.7
375,-103.2
376,-102.7
377,-105.3
378,-108.3
379,-104.5
380,-102
381,-101.6
382,-100.1
383,-100.9
384,-103.7
385,-99
386,-100.3
387,-103.5
388,-103
389,-95.4
390,-99.1
391,-99.2
392,-95.5
393,-95.4
394,-94.6
395,-94.7
396,-100.3
397,-96.6
398,-93.5
399,-94.2
400,-92.2
401,-93.9
402,-95.3
403,-98.5
404,-94.4
405,-92.3
406,-93.3
407,-94.2
408,-94.7
409,-93.3
410,-97.2
411,-94.8
412,-95.3
413,-95
414,-96
415,-96.5
416,-95.4
417,-90.8
418,-91
419,-94.9
420,-96.8
421,-94.7
422,-93.6
423,-95.6
424,-98.8
425,-96.5
426,-94.8
427,-97.3
428,-96.5
429,-94.4
430,-96.5
431,-106.3
432,-108.7
433,-112.7
434,-109.5
