tAtm,10 cm,30 cm,50 cm,90 cm,120 cm,160 cm,240 cm,340 cm,440 cm,540 cm
99,0.1137,0.1499,0.1895,0.158,0.1315,0.2828,0.3008,0.2931,0.1873,0.1449
107,0.1106,0.1382,0.1737,0.1637,0.1524,0.2961,0.3107,0.3212,0.1979,0.1502
115,0.0744,0.118,0.1593,0.1602,0.1436,0.2801,0.3078,0.3141,0.1974,0.1473
125,0.0759,0.1082,0.1508,0.1553,0.1335,0.2924,0.2959,0.2893,0.1904,0.1422
134,0.0879,0.103,0.1363,0.1541,0.1423,0.2889,0.2927,0.2861,0.1756,0.1597
143,0.0786,0.0994,0.1284,0.1439,0.1391,0.283,0.2957,0.3155,0.2017,0.1435
158,0.0698,0.1016,0.1207,0.1332,0.128,0.3173,0.3341,,,
181,0.1062,0.1341,0.1236,0.1187,0.1198,0.2978,0.3156,,,
191,0.1513,0.1718,0.1278,0.1006,0.1086,0.2499,0.2918,0.2647,0.1416,0.1088
252,0.1288,0.1636,0.1967,0.1601,0.1409,0.2514,0.3069,0.2747,0.1502,0.117
258,0.0864,0.1423,0.185,0.16,0.1372,0.292,0.3285,0.3251,0.2005,0.1183
266,0.0738,0.1091,0.1545,0.1512,0.1395,0.283,0.3172,0.3026,0.1622,0.1235
278,0.201,0.2368,0.2837,0.2618,0.2458,0.2914,0.3045,0.3102,0.1727,0.1328
287,0.1401,0.1776,0.2108,0.2062,0.192,0.2975,0.339,0.3146,0.165,0.1318
462,0.136,0.124,0.141,0.124,0.119,0.249,0.296,0.313,0.218,0.234
470,0.084,0.108,0.128,0.135,0.127,0.27,0.31,0.319,0.218,0.233
481,0.122,0.11,0.109,0.122,0.138,0.264,0.302,0.308,0.216,0.259
492,0.09,0.097,0.108,0.118,0.118,0.251,0.3,0.31,0.211,0.235
502,0.06,0.087,0.098,0.116,0.114,0.223,0.299,0.306,0.226,0.234
514,0.152,0.132,0.118,0.113,0.114,0.24,0.301,0.313,0.208,0.224
524,0.073,0.105,0.096,0.114,0.12,0.241,0.287,0.303,0.221,0.222
539,0.057,0.082,0.085,0.101,0.109,0.226,0.279,,,
557,0.087,0.089,0.091,0.102,0.107,0.191,0.275,0.288,0.196,0.199
572,0.121,0.159,0.187,0.15,0.125,0.204,0.28,0.299,0.224,0.214
605,0.158,0.195,0.194,0.17,0.139,0.183,0.245,0.271,0.2,0.21
617,0.075,0.113,0.146,0.157,0.149,0.208,0.234,0.268,0.197,0.215
631,0.126,0.133,0.138,0.138,0.135,0.205,0.237,0.261,0.201,0.221
640,0.104,0.125,0.141,0.141,0.132,0.206,0.239,0.26,0.201,0.224
650,0.081,0.107,0.129,0.133,0.13,0.21,0.24,0.262,0.2,0.226
664,0.059,0.097,0.123,0.131,0.121,0.197,0.234,0.256,0.223,0.226
